product_id,rfid_tags,aisle_slot,category,product_name,supplier_name,supplier_contact,contract_id,contract_valid_till,total_units,units_per_box,total_boxes,expiry_date,turnover_rate_per_month,monthly_sales,yearly_sales,demand_level,stock_status,reorder_point,specifications,description
PID-A011,RFID-A1011,A11,Electronics,SG90 Servo Motor,Electronics Supplier 11,+91-9592688426,CON-A-011,2026-12-13,7,10,0,N/A,25,5,60,Very High,Low Stock,15,"{""torque"": ""1.8kg-cm"", ""angle"": ""0-180"", ""voltage"": ""4.8-6V""}",Small servo for robotics actuation.
PID-A012,RFID-A1012,A12,Electronics,NEMA17 Stepper Motor,Electronics Supplier 12,+91-9488690725,CON-A-012,2027-03-01,8,10,0,N/A,17,9,108,Very High,Low Stock,100,"{""step_angle"": ""1.8\u00b0"", ""current"": ""1.2A"", ""torque"": ""40Ncm""}",Precision positioning motor.
PID-A013,RFID-A1013|RFID-A1013-BOX1|RFID-A1013-BOX2|RFID-A1013-BOX3|RFID-A1013-BOX4|RFID-A1013-BOX5|RFID-A1013-BOX6,A13,Electronics,12V DC Motor,Electronics Supplier 13,+91-9264112119,CON-A-013,2028-04-22,30,5,6,N/A,8,31,372,Low,Low Stock,30,"{""voltage"": ""12V"", ""rpm"": ""3000"", ""current"": ""0.5A""}",General purpose DC motor.
PID-A014,RFID-A1014,A14,Electronics,L298N Motor Driver,Electronics Supplier 14,+91-9602564736,CON-A-014,2028-01-12,0,10,0,N/A,24,41,492,Low,Out of Stock,50,"{""channels"": 2, ""voltage"": ""5-35V"", ""current"": ""2A per channel""}",Dual H-bridge motor driver.
PID-A015,RFID-A1015|RFID-A1015-BOX1|RFID-A1015-BOX2|RFID-A1015-BOX3,A15,Electronics,16x2 LCD Display,Electronics Supplier 15,+91-9906248900,CON-A-015,2027-04-19,18,5,3,N/A,22,18,216,Low,Low Stock,100,"{""chars"": ""16x2"", ""interface"": ""Parallel/I2C"", ""voltage"": ""5V""}",Alphanumeric display for embedded UIs.
PID-A016,RFID-A1016|RFID-A1016-BOX1|RFID-A1016-BOX2,A16,Electronics,"0.96"" OLED Display",Electronics Supplier 16,+91-9875340444,CON-A-016,2027-04-15,20,10,2,N/A,5,13,156,Very High,Low Stock,20,"{""resolution"": ""128x64"", ""interface"": ""I2C"", ""voltage"": ""3.3-5V""}",Compact high-contrast display.
PID-A017,RFID-A1017|RFID-A1017-BOX1|RFID-A1017-BOX2|RFID-A1017-BOX3|RFID-A1017-BOX4|RFID-A1017-BOX5|RFID-A1017-BOX6,A17,Electronics,Breadboard 830 Tie-Points,Electronics Supplier 17,+91-9753876785,CON-A-017,2027-02-08,30,5,6,N/A,21,33,396,High,Overstock,10,"{""points"": 830, ""material"": ""ABS"", ""pitch"": ""2.54mm""}",Solderless prototyping board.
PID-A018,RFID-A1018,A18,Electronics,Jumper Wires Set (M-M),Electronics Supplier 18,+91-9120912992,CON-A-018,2026-11-11,0,5,0,N/A,20,47,564,Low,Out of Stock,50,"{""count"": 120, ""lengths"": ""various"", ""pitch"": ""2.54mm""}",Interconnect wires for prototyping.
PID-A019,RFID-A1019|RFID-A1019-BOX1|RFID-A1019-BOX2|RFID-A1019-BOX3,A19,Electronics,MB102 Power Supply Module,Electronics Supplier 19,+91-9191969690,CON-A-019,2027-11-29,30,10,3,N/A,7,33,396,Medium,Overstock,10,"{""output"": ""3.3V/5V"", ""input"": ""6.5-12V"", ""current"": ""700mA""}",Breadboard power module.
PID-A020,RFID-A1020|RFID-A1020-BOX1|RFID-A1020-BOX2|RFID-A1020-BOX3,A20,Electronics,LM7805 Voltage Regulator,Electronics Supplier 20,+91-9384602384,CON-A-020,2028-01-11,60,20,3,N/A,10,70,840,Very High,Overstock,15,"{""output"": ""5V"", ""input"": ""7-35V"", ""current"": ""1A""}",Linear voltage regulator.
PID-A021,RFID-A1021|RFID-A1021-BOX1|RFID-A1021-BOX2|RFID-A1021-BOX3,A21,Electronics,Capacitor Kit,Electronics Supplier 21,+91-9821218382,CON-A-021,2028-05-15,30,10,3,N/A,17,30,360,Medium,Low Stock,50,"{""range"": ""1pF-1000uF"", ""types"": ""electrolytic/ceramic""}",Assorted capacitors for circuits.
PID-A022,RFID-A1022|RFID-A1022-BOX1|RFID-A1022-BOX2,A22,Electronics,Resistor Kit,Electronics Supplier 22,+91-9122585366,CON-A-022,2028-03-13,29,10,2,N/A,15,21,252,Medium,Overstock,10,"{""range"": ""1\u03a9-1M\u03a9"", ""tolerance"": ""\u00b15%""}",Assorted resistors.
PID-A023,RFID-A1023|RFID-A1023-BOX1|RFID-A1023-BOX2|RFID-A1023-BOX3,A23,Electronics,Diode Kit,Electronics Supplier 23,+91-9345824373,CON-A-023,2026-09-27,60,20,3,N/A,6,61,732,Low,Overstock,10,"{""types"": ""1N4007, 1N4148"", ""current"": ""1A""}",Assorted diodes.
PID-A024,RFID-A1024|RFID-A1024-BOX1|RFID-A1024-BOX2,A24,Electronics,Transistor Kit,Electronics Supplier 24,+91-9330035022,CON-A-024,2028-01-23,20,10,2,N/A,20,15,180,Medium,Low Stock,50,"{""types"": ""BC547, 2N2222"", ""packages"": ""TO-92""}",Assorted BJTs.
PID-A025,RFID-A1025,A25,Electronics,IC Chips Set,Electronics Supplier 25,+91-9201281557,CON-A-025,2026-10-27,0,10,0,N/A,11,16,192,Very High,Out of Stock,15,"{""types"": ""555, 741, 74HC series""}",Common ICs for electronics labs.
PID-A026,RFID-A1026|RFID-A1026-BOX1|RFID-A1026-BOX2|RFID-A1026-BOX3|RFID-A1026-BOX4|RFID-A1026-BOX5,A26,Electronics,PCB Board (General Purpose),Electronics Supplier 26,+91-9823019672,CON-A-026,2028-05-19,50,10,5,N/A,6,55,660,Very High,Healthy,30,"{""size"": ""100x80mm"", ""holes"": ""2.54mm grid""}",Perforated board for soldering.
PID-A027,RFID-A1027|RFID-A1027-BOX1|RFID-A1027-BOX2,A27,Electronics,Soldering Kit,Electronics Supplier 27,+91-9366992705,CON-A-027,2027-02-01,10,5,2,N/A,8,10,120,High,Low Stock,30,"{""iron"": ""60W"", ""temp"": ""200-450C"", ""extras"": ""stand, wire""}",Soldering tools set.
PID-A028,RFID-A1028,A28,Electronics,Digital Multimeter,Electronics Supplier 28,+91-9368227631,CON-A-028,2026-10-05,0,10,0,N/A,19,10,120,Very High,Out of Stock,15,"{""range"": ""auto"", ""voltage"": ""600V"", ""current"": ""10A""}",Electrical measurement tool.
PID-A029,RFID-A1029|RFID-A1029-BOX1|RFID-A1029-BOX2|RFID-A1029-BOX3|RFID-A1029-BOX4|RFID-A1029-BOX5,A29,Electronics,12V Power Adapter,Electronics Supplier 29,+91-9353810544,CON-A-029,2027-01-06,28,5,5,N/A,29,33,396,Low,Overstock,10,"{""output"": ""12V 2A"", ""plug"": ""5.5x2.1mm""}",AC-DC adapter.
PID-A030,RFID-A1030|RFID-A1030-BOX1|RFID-A1030-BOX2|RFID-A1030-BOX3,A30,Electronics,USB Logic Analyzer,Electronics Supplier 30,+91-9519212169,CON-A-030,2027-04-17,16,5,3,N/A,5,11,132,Low,Low Stock,30,"{""channels"": 8, ""sampling"": ""24MHz""}",Digital signal analysis tool.
PID-B001,RFID-B2001|RFID-B2001-BOX1|RFID-B2001-BOX2|RFID-B2001-BOX3|RFID-B2001-BOX4,B1,Mechanical,Gear Set (Spur),Mechanical Supplier 1,+91-9333754555,CON-B-001,2026-09-17,40,10,4,N/A,14,27,324,Very High,Healthy,30,"{""material"": ""Alloy Steel"", ""module"": ""1.5"", ""teeth"": ""varied""}",Spur gears for power transmission.
PID-B002,RFID-B2002|RFID-B2002-BOX1|RFID-B2002-BOX2,B2,Mechanical,Steel Shaft,Mechanical Supplier 2,+91-9611947770,CON-B-002,2027-12-16,40,20,2,N/A,23,25,300,High,Low Stock,100,"{""material"": ""EN8"", ""diameter"": ""10mm"", ""length"": ""300mm""}",Rotational shaft.
PID-B003,RFID-B2003|RFID-B2003-BOX1|RFID-B2003-BOX2|RFID-B2003-BOX3,B3,Mechanical,Ball Bearings (6202),Mechanical Supplier 3,+91-9738914080,CON-B-003,2026-09-27,60,20,3,N/A,7,66,792,Low,Overstock,10,"{""type"": ""Deep groove"", ""id"": ""15mm"", ""od"": ""35mm""}",Low-friction bearings.
PID-B004,RFID-B2004|RFID-B2004-BOX1|RFID-B2004-BOX2|RFID-B2004-BOX3|RFID-B2004-BOX4|RFID-B2004-BOX5,B4,Mechanical,Bolts Pack (M6),Mechanical Supplier 4,+91-9765055833,CON-B-004,2026-10-11,25,5,5,N/A,6,23,276,Medium,Overstock,10,"{""material"": ""SS304"", ""length"": ""20mm"", ""head"": ""Hex""}",Fasteners for assemblies.
PID-B005,RFID-B2005|RFID-B2005-BOX1,B5,Mechanical,Nuts Pack (M6),Mechanical Supplier 5,+91-9356287095,CON-B-005,2027-04-17,19,10,1,N/A,15,19,228,Medium,Low Stock,20,"{""material"": ""SS304"", ""thread"": ""M6""}",Matching nuts.
PID-B006,RFID-B2006|RFID-B2006-BOX1|RFID-B2006-BOX2,B6,Mechanical,Washers Pack,Mechanical Supplier 6,+91-9110002396,CON-B-006,2027-11-01,22,10,2,N/A,7,25,300,High,Low Stock,30,"{""material"": ""SS"", ""size"": ""M6""}",Load distribution washers.
PID-B007,RFID-B2007|RFID-B2007-BOX1|RFID-B2007-BOX2,B7,Mechanical,Compression Springs,Mechanical Supplier 7,+91-9474745382,CON-B-007,2026-09-28,40,20,2,N/A,9,36,432,Medium,Overstock,10,"{""material"": ""Spring steel"", ""k"": ""varied""}",Elastic springs.
PID-B008,RFID-B2008|RFID-B2008-BOX1|RFID-B2008-BOX2|RFID-B2008-BOX3|RFID-B2008-BOX4,B8,Mechanical,Pulleys,Mechanical Supplier 8,+91-9424825305,CON-B-008,2028-04-06,40,10,4,N/A,27,44,528,Very High,Overstock,15,"{""material"": ""Aluminum"", ""diameter"": ""50mm""}",Belt drive pulleys.
PID-B009,RFID-B2009|RFID-B2009-BOX1|RFID-B2009-BOX2|RFID-B2009-BOX3|RFID-B2009-BOX4|RFID-B2009-BOX5|RFID-B2009-BOX6,B9,Mechanical,Flexible Couplings,Mechanical Supplier 9,+91-9244193987,CON-B-009,2027-04-16,120,20,6,N/A,8,139,1668,High,Overstock,10,"{""material"": ""Aluminum"", ""bore"": ""6-8mm""}",Shaft couplers.
PID-B010,RFID-B2010,B10,Mechanical,Chain Drive (Industrial),Mechanical Supplier 10,+91-9326161867,CON-B-010,2027-07-06,0,5,0,N/A,24,76,912,Medium,Out of Stock,100,"{""material"": ""Alloy Steel"", ""pitch"": ""12.7mm""}",Chain transmission system.
PID-B011,RFID-B2011|RFID-B2011-BOX1|RFID-B2011-BOX2,B11,Mechanical,V-Belt Drive,Mechanical Supplier 11,+91-9199104722,CON-B-011,2028-04-29,21,10,2,N/A,6,15,180,Very High,Low Stock,50,"{""type"": ""A-section"", ""length"": ""varied""}",Belt transmission.
PID-B012,RFID-B2012|RFID-B2012-BOX1,B12,Mechanical,Hydraulic Pump,Mechanical Supplier 12,+91-9381272327,CON-B-012,2027-01-01,9,5,1,N/A,25,9,108,High,Low Stock,10,"{""flow"": ""10L/min"", ""pressure"": ""150bar""}",Hydraulic power unit.
PID-B013,RFID-B2013|RFID-B2013-BOX1|RFID-B2013-BOX2|RFID-B2013-BOX3|RFID-B2013-BOX4|RFID-B2013-BOX5,B13,Mechanical,Pneumatic Cylinder,Mechanical Supplier 13,+91-9260045822,CON-B-013,2028-01-29,100,20,5,N/A,27,66,792,Low,Healthy,50,"{""bore"": ""32mm"", ""stroke"": ""100mm""}",Linear actuator.
PID-B014,RFID-B2014,B14,Mechanical,Control Valve,Mechanical Supplier 14,+91-9430989881,CON-B-014,2027-07-28,0,10,0,N/A,6,42,504,Medium,Out of Stock,50,"{""type"": ""2/2 NC"", ""pressure"": ""10bar""}",Fluid control.
PID-B015,RFID-B2015|RFID-B2015-BOX1|RFID-B2015-BOX2|RFID-B2015-BOX3|RFID-B2015-BOX4,B15,Mechanical,Air Compressor,Mechanical Supplier 15,+91-9937643439,CON-B-015,2028-02-13,20,5,4,N/A,16,20,240,Medium,Healthy,15,"{""power"": ""2HP"", ""tank"": ""50L""}",Compressed air source.
PID-B016,RFID-B2016|RFID-B2016-BOX1|RFID-B2016-BOX2|RFID-B2016-BOX3|RFID-B2016-BOX4|RFID-B2016-BOX5|RFID-B2016-BOX6,B16,Mechanical,Air Filter,Mechanical Supplier 16,+91-9274484941,CON-B-016,2027-01-17,60,10,6,N/A,12,69,828,Medium,Low Stock,100,"{""micron"": ""5\u00b5m"", ""flow"": ""100CFM""}",Air filtration.
PID-B017,RFID-B2017|RFID-B2017-BOX1|RFID-B2017-BOX2|RFID-B2017-BOX3,B17,Mechanical,Lubricant Oil,Mechanical Supplier 17,+91-9961393416,CON-B-017,2028-06-04,15,5,3,N/A,18,16,192,High,Low Stock,100,"{""grade"": ""ISO VG 46"", ""volume"": ""1L""}",Machine lubrication.
PID-B018,RFID-B2018|RFID-B2018-BOX1|RFID-B2018-BOX2|RFID-B2018-BOX3|RFID-B2018-BOX4,B18,Mechanical,Grease,Mechanical Supplier 18,+91-9605399561,CON-B-018,2027-03-04,20,5,4,N/A,6,16,192,Low,Healthy,15,"{""type"": ""Lithium"", ""temp"": ""-20 to 120C""}",Bearing lubrication.
PID-B019,RFID-B2019,B19,Mechanical,Clamps,Mechanical Supplier 19,+91-9339362341,CON-B-019,2026-08-13,0,10,0,N/A,12,21,252,High,Out of Stock,20,"{""material"": ""Steel"", ""size"": ""adjustable""}",Holding fixtures.
PID-B020,RFID-B2020|RFID-B2020-BOX1|RFID-B2020-BOX2|RFID-B2020-BOX3|RFID-B2020-BOX4,B20,Mechanical,Brackets,Mechanical Supplier 20,+91-9477040284,CON-B-020,2028-05-06,40,10,4,N/A,13,47,564,Low,Healthy,20,"{""material"": ""Mild Steel"", ""thickness"": ""3mm""}",Mounting brackets.
PID-B021,RFID-B2021|RFID-B2021-BOX1|RFID-B2021-BOX2|RFID-B2021-BOX3|RFID-B2021-BOX4|RFID-B2021-BOX5|RFID-B2021-BOX6,B21,Mechanical,Frame (Aluminum Profile),Mechanical Supplier 21,+91-9291735734,CON-B-021,2028-03-05,120,20,6,N/A,13,80,960,Low,Overstock,20,"{""size"": ""2020"", ""length"": ""1m""}",Structural framing.
PID-B022,RFID-B2022|RFID-B2022-BOX1|RFID-B2022-BOX2,B22,Mechanical,Support Rod,Mechanical Supplier 22,+91-9436808455,CON-B-022,2027-10-09,20,10,2,N/A,30,16,192,Very High,Healthy,10,"{""material"": ""Steel"", ""diameter"": ""8mm""}",Support element.
PID-B023,RFID-B2023|RFID-B2023-BOX1|RFID-B2023-BOX2,B23,Mechanical,Axle,Mechanical Supplier 23,+91-9568213197,CON-B-023,2026-07-21,40,20,2,N/A,27,30,360,Medium,Healthy,30,"{""material"": ""EN8"", ""diameter"": ""12mm""}",Load bearing shaft.
PID-B024,RFID-B2024|RFID-B2024-BOX1|RFID-B2024-BOX2|RFID-B2024-BOX3,B24,Mechanical,Wheel,Mechanical Supplier 24,+91-9454549587,CON-B-024,2028-04-18,60,20,3,N/A,26,38,456,Very High,Overstock,20,"{""material"": ""PU"", ""diameter"": ""100mm""}",Mobility component.
PID-B025,RFID-B2025|RFID-B2025-BOX1|RFID-B2025-BOX2|RFID-B2025-BOX3|RFID-B2025-BOX4|RFID-B2025-BOX5,B25,Mechanical,Roller,Mechanical Supplier 25,+91-9538508549,CON-B-025,2027-06-19,28,5,5,N/A,26,25,300,High,Low Stock,100,"{""material"": ""Steel"", ""diameter"": ""60mm""}",Conveyor roller.
PID-B026,RFID-B2026|RFID-B2026-BOX1|RFID-B2026-BOX2,B26,Mechanical,Conveyor Belt,Mechanical Supplier 26,+91-9827264603,CON-B-026,2027-01-14,10,5,2,N/A,17,9,108,Very High,Low Stock,15,"{""material"": ""PVC"", ""width"": ""300mm""}",Material handling belt.
PID-B027,RFID-B2027|RFID-B2027-BOX1|RFID-B2027-BOX2|RFID-B2027-BOX3|RFID-B2027-BOX4|RFID-B2027-BOX5,B27,Mechanical,Storage Rack,Mechanical Supplier 27,+91-9561588882,CON-B-027,2028-03-04,50,10,5,N/A,11,39,468,Low,Low Stock,50,"{""material"": ""Steel"", ""levels"": 5}",Warehouse storage rack.
PID-B028,RFID-B2028|RFID-B2028-BOX1|RFID-B2028-BOX2|RFID-B2028-BOX3|RFID-B2028-BOX4|RFID-B2028-BOX5,B28,Mechanical,Rack & Pinion,Mechanical Supplier 28,+91-9608079792,CON-B-028,2027-01-09,50,10,5,N/A,21,50,600,Very High,Healthy,30,"{""module"": ""2"", ""material"": ""Steel""}",Linear motion set.
PID-B029,RFID-B2029|RFID-B2029-BOX1|RFID-B2029-BOX2|RFID-B2029-BOX3|RFID-B2029-BOX4|RFID-B2029-BOX5|RFID-B2029-BOX6,B29,Mechanical,Motor Mount,Mechanical Supplier 29,+91-9352188235,CON-B-029,2028-06-07,60,10,6,N/A,29,39,468,High,Low Stock,100,"{""material"": ""Aluminum"", ""size"": ""NEMA17""}",Motor mounting plate.
PID-B030,RFID-B2030|RFID-B2030-BOX1|RFID-B2030-BOX2|RFID-B2030-BOX3|RFID-B2030-BOX4|RFID-B2030-BOX5,B30,Mechanical,Housing Unit,Mechanical Supplier 30,+91-9756350429,CON-B-030,2026-10-02,26,5,5,N/A,20,16,192,Low,Healthy,15,"{""material"": ""Cast Iron"", ""type"": ""Bearing housing""}",Protective housing.
PID-C001,RFID-C3001|RFID-C3001-BOX1|RFID-C3001-BOX2|RFID-C3001-BOX3|RFID-C3001-BOX4|RFID-C3001-BOX5,C1,Consumables,Cardboard Boxes,Consumables Supplier 1,+91-9258453521,CON-C-001,2028-05-21,29,5,5,2027-09-16,12,26,312,Very High,Low Stock,100,"{""ply"": ""5-ply"", ""size"": ""various""}",Packaging boxes.
PID-C002,RFID-C3002,C2,Consumables,Bubble Wrap,Consumables Supplier 2,+91-9656152900,CON-C-002,2027-11-07,0,5,0,2026-10-24,27,21,252,Medium,Out of Stock,30,"{""bubble"": ""10mm"", ""roll"": ""50m""}",Protective packaging.
PID-C003,RFID-C3003|RFID-C3003-BOX1|RFID-C3003-BOX2|RFID-C3003-BOX3|RFID-C3003-BOX4|RFID-C3003-BOX5,C3,Consumables,BOPP Packing Tape,Consumables Supplier 3,+91-9739362057,CON-C-003,2027-06-09,25,5,5,2027-10-20,22,25,300,Very High,Healthy,15,"{""width"": ""48mm"", ""length"": ""65m"", ""adhesive"": ""Acrylic""}",Carton sealing tape.
PID-C004,RFID-C3004|RFID-C3004-BOX1|RFID-C3004-BOX2|RFID-C3004-BOX3|RFID-C3004-BOX4|RFID-C3004-BOX5|RFID-C3004-BOX6,C4,Consumables,Labels,Consumables Supplier 4,+91-9609677794,CON-C-004,2027-10-23,120,20,6,2027-02-08,28,136,1632,Very High,Overstock,30,"{""type"": ""thermal"", ""size"": ""100x50mm""}",Product labels.
PID-C005,RFID-C3005|RFID-C3005-BOX1|RFID-C3005-BOX2|RFID-C3005-BOX3|RFID-C3005-BOX4,C5,Consumables,Barcode Stickers,Consumables Supplier 5,+91-9572309605,CON-C-005,2026-10-07,80,20,4,2027-09-29,13,78,936,Very High,Healthy,50,"{""type"": ""Code128"", ""size"": ""50x25mm""}",Barcode labels.
PID-C006,RFID-C3006,C6,Consumables,Plastic Wrap,Consumables Supplier 6,+91-9511281012,CON-C-006,2026-12-23,9,10,0,2027-09-25,12,6,72,Low,Low Stock,20,"{""type"": ""LDPE"", ""roll"": ""30m""}",Stretch wrap.
PID-C007,RFID-C3007|RFID-C3007-BOX1,C7,Consumables,Foam Sheets,Consumables Supplier 7,+91-9994310083,CON-C-007,2027-09-23,14,10,1,2027-04-16,11,11,132,Very High,Low Stock,20,"{""thickness"": ""5mm"", ""size"": ""1x1m""}",Cushioning material.
PID-C008,RFID-C3008|RFID-C3008-BOX1|RFID-C3008-BOX2,C8,Consumables,Zip Ties,Consumables Supplier 8,+91-9420632895,CON-C-008,2027-08-23,40,20,2,2027-12-09,16,35,420,Very High,Low Stock,50,"{""length"": ""150mm"", ""material"": ""Nylon""}",Cable management.
PID-C009,RFID-C3009|RFID-C3009-BOX1|RFID-C3009-BOX2|RFID-C3009-BOX3|RFID-C3009-BOX4|RFID-C3009-BOX5|RFID-C3009-BOX6,C9,Consumables,Marker Pens,Consumables Supplier 9,+91-9567975319,CON-C-009,2027-11-29,60,10,6,2026-10-13,13,53,636,Medium,Low Stock,100,"{""tip"": ""bullet"", ""ink"": ""permanent""}",Marking tools.
PID-C010,RFID-C3010|RFID-C3010-BOX1|RFID-C3010-BOX2,C10,Consumables,Notepads,Consumables Supplier 10,+91-9768143326,CON-C-010,2028-01-17,22,10,2,2026-10-12,9,24,288,Medium,Low Stock,100,"{""pages"": 200, ""size"": ""A5""}",Stationery.
PID-C011,RFID-C3011|RFID-C3011-BOX1|RFID-C3011-BOX2|RFID-C3011-BOX3|RFID-C3011-BOX4|RFID-C3011-BOX5|RFID-C3011-BOX6,C11,Consumables,Gloves,Consumables Supplier 11,+91-9245706210,CON-C-011,2027-11-04,120,20,6,2026-12-31,18,78,936,Low,Healthy,100,"{""type"": ""Nitrile"", ""size"": ""M""}",Safety gloves.
PID-C012,RFID-C3012,C12,Consumables,Safety Helmets,Consumables Supplier 12,+91-9917364173,CON-C-012,2027-08-12,0,10,0,2027-02-18,15,17,204,Medium,Out of Stock,20,"{""material"": ""ABS"", ""standard"": ""ISI""}",Head protection.
PID-C013,RFID-C3013|RFID-C3013-BOX1|RFID-C3013-BOX2|RFID-C3013-BOX3|RFID-C3013-BOX4,C13,Consumables,Safety Shoes,Consumables Supplier 13,+91-9155926488,CON-C-013,2027-07-13,40,10,4,2027-01-21,22,24,288,Very High,Overstock,10,"{""toe"": ""steel"", ""size"": ""varied""}",Foot protection.
PID-C014,RFID-C3014|RFID-C3014-BOX1|RFID-C3014-BOX2,C14,Consumables,Masks,Consumables Supplier 14,+91-9767154083,CON-C-014,2026-12-23,40,20,2,2027-01-29,5,28,336,Medium,Overstock,10,"{""type"": ""3-ply"", ""filtration"": ""BFE>95%""}",Face masks.
PID-C015,RFID-C3015,C15,Consumables,Cleaning Cloth,Consumables Supplier 15,+91-9923450567,CON-C-015,2027-08-01,0,5,0,2026-12-23,13,43,516,Medium,Out of Stock,50,"{""material"": ""Microfiber"", ""size"": ""30x30cm""}",Cleaning wipes.
PID-C016,RFID-C3016|RFID-C3016-BOX1|RFID-C3016-BOX2,C16,Consumables,Mop,Consumables Supplier 16,+91-9434961542,CON-C-016,2028-02-29,40,20,2,2027-09-10,5,26,312,High,Overstock,15,"{""type"": ""Cotton"", ""handle"": ""steel""}",Floor cleaning tool.
PID-C017,RFID-C3017|RFID-C3017-BOX1|RFID-C3017-BOX2|RFID-C3017-BOX3|RFID-C3017-BOX4|RFID-C3017-BOX5,C17,Consumables,Cleaning Liquid,Consumables Supplier 17,+91-9991819497,CON-C-017,2028-04-22,50,10,5,2027-01-31,27,32,384,Medium,Low Stock,100,"{""type"": ""Antibacterial"", ""volume"": ""1L"", ""ph"": ""Neutral""}",Floor cleaner.
PID-C018,RFID-C3018,C18,Consumables,Disinfectant,Consumables Supplier 18,+91-9940348305,CON-C-018,2026-08-31,0,10,0,2027-03-25,23,107,1284,Low,Out of Stock,100,"{""type"": ""Alcohol-based"", ""volume"": ""500ml""}",Surface disinfectant.
